end_station_name,end_lat,end_lng,count
Lake Park Ave & 53rd St,41.7995,-87.5865,4338
Lake Park Ave & 56th St,41.7932,-87.5878,5550
Lake Shore Dr & Belmont Ave,41.9408,-87.6392,14166
Lake Shore Dr & Diversey Pkwy,41.9326,-87.6364,12818
Lake Shore Dr & Monroe St,41.881,-87.6167,41333
Lake Shore Dr & North Blvd,41.9117,-87.6268,42874
Lake Shore Dr & Ohio St,41.8926,-87.6145,14871
Lake Shore Dr & Wellington Ave,41.9367,-87.6368,13405
Lakefront Trail & Bryn Mawr Ave,41.984,-87.6523,10308
Lakefront Trail & Wilson Ave,41.9658,-87.6454,6298
Lakeview Ave & Fullerton Pkwy,41.9259,-87.639,15419
Laramie Ave & Gladys Ave,41.8758,-87.7553,51
Laramie Ave & Kinzie St,41.8878,-87.7555,73
Laramie Ave & Madison St,41.8802,-87.7553,125
Larrabee St & Armitage Ave,41.9181,-87.6437,7441
Larrabee St & Division St,41.9035,-87.6434,9297
Larrabee St & Kingsbury St,41.8978,-87.6429,23595
Larrabee St & Menomonee St,41.9147,-87.6433,5047
Larrabee St & North Ave,41.9102,-87.6435,4024
Larrabee St & Oak St,41.9002,-87.643,8411
Larrabee St & Webster Ave,41.9218,-87.6441,13241
Latrobe Ave & Chicago Ave,41.8947,-87.7569,111
Leavitt St & Addison St,41.9467,-87.6834,1775
Leavitt St & Archer Ave,41.8288,-87.6806,590
Leavitt St & Armitage Ave,41.9178,-87.6824,3817
Leavitt St & Belmont Ave (*),41.9394,-87.6833,1894
Leavitt St & Chicago Ave,41.8955,-87.682,3909
Leavitt St & Division St (*),41.903,-87.6838,2804
Leavitt St & Lawrence Ave,41.9689,-87.684,2328
Leavitt St & North Ave,41.9102,-87.6823,5150
Lincoln Ave & Addison St,41.9462,-87.6733,2693
Lincoln Ave & Belle Plaine Ave,41.956,-87.6803,4546
Lincoln Ave & Belmont Ave,41.9394,-87.6684,6968
Lincoln Ave & Diversey Pkwy,41.9322,-87.6586,7873
Lincoln Ave & Fullerton Ave,41.9259,-87.6493,14598
Lincoln Ave & Roscoe St,41.9433,-87.671,9586
Lincoln Ave & Sunnyside Ave,41.963,-87.6848,4746
Lincoln Ave & Waveland Ave,41.9488,-87.6753,4470
Lincoln Ave & Winona St,41.9749,-87.6925,1779
Lincoln Park Conservatory,41.9239,-87.6358,4124
Lincolnwood Dr & Central St,42.0649,-87.7153,902
Logan Blvd & Elston Ave,41.9295,-87.6842,4480
Loomis St & Archer Ave,41.8416,-87.6574,1347
Loomis St & Jackson Blvd,41.8779,-87.662,4193
Loomis St & Lexington St,41.8722,-87.6615,13611
MLK Jr Dr & 29th St,41.8421,-87.617,7453
MLK Jr Dr & 47th St,41.8099,-87.6163,407
MLK Jr Dr & 56th St,41.7934,-87.6159,109
MLK Jr Dr & 63rd St,41.7801,-87.6159,135
MLK Jr Dr & 83rd St,41.7431,-87.6148,177
MLK Jr Dr & Pershing Rd,41.8246,-87.6168,1087
MTL-ECO5.1-01,41.9171,-87.7482,4
Malcolm X College,41.8776,-87.6739,1374
Manor Ave & Leland Ave,41.9659,-87.7008,1286
Maplewood Ave & Peterson Ave,41.9902,-87.6934,415
Marine Dr & Ainslie St,41.9716,-87.6502,5400
Marshfield Ave & 44th St,41.814,-87.6666,111
Marshfield Ave & 59th St,41.7868,-87.6662,38
Marshfield Ave & Cortland St,41.916,-87.6689,14074
May St & 69th St,41.7689,-87.6529,19
May St & Cullerton St,41.8551,-87.6541,1898
May St & Taylor St,41.8695,-87.6555,7671
McClurg Ct & Erie St,41.8945,-87.6179,15231
McClurg Ct & Illinois St,41.8904,-87.6175,20168
McCormick Place,41.8514,-87.6188,5335
Michigan Ave & 14th St,41.8641,-87.6237,9289
Michigan Ave & 18th St,41.8578,-87.6246,10030
Michigan Ave & 8th St,41.8728,-87.624,13907
Michigan Ave & Ida B Wells Dr,41.8762,-87.6244,7886
Michigan Ave & Jackson Blvd,41.8779,-87.6241,15355
Michigan Ave & Lake St,41.886,-87.6241,22754
Michigan Ave & Madison St,41.8821,-87.6251,11339
Michigan Ave & Oak St,41.901,-87.6238,38364
Michigan Ave & Pearson St,41.8977,-87.6235,10789
Michigan Ave & Washington St,41.884,-87.6247,40132
Mies van der Rohe Way & Chestnut St,41.8986,-87.6219,13504
Mies van der Rohe Way & Chicago Ave,41.8969,-87.6217,12521
Millard Ave & 26th St,41.8446,-87.7159,229
Millennium Park,41.881,-87.6241,38056
Milwaukee Ave & Cuyler Ave,41.9545,-87.7496,562
Milwaukee Ave & Grand Ave,41.8916,-87.6484,14399
Milwaukee Ave & Rockwell St,41.9202,-87.693,3458
Milwaukee Ave & Wabansia Ave,41.9126,-87.6814,10432
Monticello Ave & Irving Park Rd,41.954,-87.7191,1074
Montrose Harbor,41.964,-87.6382,13556
Morgan Ave & 14th Pl,41.8624,-87.6511,4354
Morgan St & 18th St,41.8581,-87.6511,4501
Morgan St & 31st St,41.8378,-87.6511,1916
Morgan St & Lake St,41.8855,-87.6523,20002
Morgan St & Pershing Rd,41.8236,-87.6509,122
Morgan St & Polk St,41.8717,-87.651,13261
Museum of Science and Industry,41.7917,-87.5839,3604
Noble St & Milwaukee Ave,41.9007,-87.6626,6289
Normal Ave & Archer Ave,41.8495,-87.6406,1190
Oakley Ave & Irving Park Rd,41.9543,-87.6861,2059
Oakley Ave & Touhy Ave,42.0123,-87.6882,483
Ogden Ave & Chicago Ave,41.8964,-87.6541,10080
Ogden Ave & Congress Pkwy,41.875,-87.6733,1294
Ogden Ave & Race Ave,41.8918,-87.6588,8519
Ogden Ave & Roosevelt Rd,41.8665,-87.6847,1578
Orleans St & Chestnut St (NEXT Apts),41.8982,-87.6375,7616
Orleans St & Elm St,41.9029,-87.6377,3026
Orleans St & Hubbard St,41.89,-87.6366,5812
Orleans St & Merchandise Mart Plaza,41.8882,-87.6364,20538
Paulina Ave & North Ave,41.9103,-87.6701,6790
Paulina St & 18th St,41.8579,-87.6687,3815
Paulina St & Flournoy St,41.873,-87.6691,5410
Paulina St & Howard St,42.0192,-87.6736,2694
Paulina St & Montrose Ave,41.9615,-87.6714,2560
Peoria St & Jackson Blvd,41.8776,-87.6496,13145
Perry Ave & 69th St,41.7693,-87.6282,101
Phillips Ave & 79th St,41.7518,-87.5652,62
Phillips Ave & 83rd St,41.7445,-87.5651,82
Pine Grove Ave & Irving Park Rd,41.9544,-87.648,9375
Pine Grove Ave & Waveland Ave,41.9493,-87.6463,12546
Prairie Ave & 43rd St,41.8167,-87.6194,732
Prairie Ave & Garfield Blvd,41.7949,-87.6187,1303
Princeton Ave & 47th St,41.8093,-87.6334,204
Princeton Ave & Garfield Blvd,41.795,-87.6331,505
Pulaski Rd & Congress Pkwy,41.8743,-87.7257,143
Pulaski Rd & Eddy St (Temp),41.9463,-87.731,757
Pulaski Rd & Lake St,41.8854,-87.7265,118
Racine Ave & 13th St,41.8651,-87.657,1090
Racine Ave & 15th St,41.8613,-87.6566,1934
Racine Ave & 18th St,41.8582,-87.6565,5093
Racine Ave & 35th St,41.8307,-87.656,899
Racine Ave & Belmont Ave,41.9397,-87.6589,7742
Racine Ave & Congress Pkwy,41.8746,-87.657,6179
Racine Ave & Fullerton Ave,41.9256,-87.6584,9716
Racine Ave & Garfield Blvd,41.7942,-87.6551,327
Racine Ave & Randolph St,41.8841,-87.6569,6077
Racine Ave & Washington Blvd (*),41.8831,-87.657,4382
