,member_casual_x,date,count,member_casual_y,mean,member_casual,sum
465,casual,2019-07-26,5863,casual,3736.9445676274945,member,12000567.0
466,casual,2019-07-26,5863,member,836.5679330777274,casual,21909706.0
467,casual,2019-07-26,5863,member,836.5679330777274,member,12000567.0
468,casual,2019-07-27,10451,casual,3419.637929384748,casual,35738636.0
469,casual,2019-07-27,10451,casual,3419.637929384748,member,10573554.0
470,casual,2019-07-27,10451,member,1029.958503798948,casual,35738636.0
471,casual,2019-07-27,10451,member,1029.958503798948,member,10573554.0
472,casual,2019-07-28,8300,casual,3512.472891566265,casual,29153525.0
473,casual,2019-07-28,8300,casual,3512.472891566265,member,10460404.0
474,casual,2019-07-28,8300,member,1107.8589281931795,casual,29153525.0
475,casual,2019-07-28,8300,member,1107.8589281931795,member,10460404.0
476,casual,2019-07-29,2845,casual,3680.3416520210894,casual,10470572.0
477,casual,2019-07-29,2845,casual,3680.3416520210894,member,9923564.0
478,casual,2019-07-29,2845,member,811.544324501145,casual,10470572.0
479,casual,2019-07-29,2845,member,811.544324501145,member,9923564.0
480,casual,2019-07-30,4880,casual,3632.4549180327867,casual,17726380.0
481,casual,2019-07-30,4880,casual,3632.4549180327867,member,13449887.0
482,casual,2019-07-30,4880,member,848.894660439283,casual,17726380.0
483,casual,2019-07-30,4880,member,848.894660439283,member,13449887.0
484,casual,2019-07-31,5083,casual,3562.8215620696437,casual,18109822.0
485,casual,2019-07-31,5083,casual,3562.8215620696437,member,13154568.0
486,casual,2019-07-31,5083,member,833.3587583148559,casual,18109822.0
487,casual,2019-07-31,5083,member,833.3587583148559,member,13154568.0
488,casual,2019-08-01,5217,casual,5681.589994249569,casual,29640855.0
489,casual,2019-08-01,5217,casual,5681.589994249569,member,12824562.0
490,casual,2019-08-01,5217,member,814.7752223634053,casual,29640855.0
491,casual,2019-08-01,5217,member,814.7752223634053,member,12824562.0
492,casual,2019-08-02,6966,casual,3574.962245190927,casual,24903187.0
493,casual,2019-08-02,6966,casual,3574.962245190927,member,14029179.0
494,casual,2019-08-02,6966,member,947.2134899736682,casual,24903187.0
495,casual,2019-08-02,6966,member,947.2134899736682,member,14029179.0
496,casual,2019-08-03,12113,casual,3733.926607776769,casual,45229053.0
497,casual,2019-08-03,12113,casual,3733.926607776769,member,12683884.0
498,casual,2019-08-03,12113,member,1164.8346037285335,casual,45229053.0
499,casual,2019-08-03,12113,member,1164.8346037285335,member,12683884.0
500,casual,2019-08-04,10065,casual,3500.556681569796,casual,35233103.0
